City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Muisne,EC,0.6,-80.0333,78.93,73,98,10.89,overcast clouds
80,Yellowknife,CA,62.456,-114.3525,45.12,70,75,13.8,broken clouds
81,Gezing,AT,47.9178,13.1299,61.11,97,75,9.22,broken clouds
82,Caldwell,US,43.6629,-116.6874,66.97,36,0,6.91,clear sky
83,Omboue,GA,-1.5746,9.2618,77.36,77,81,9.46,broken clouds
84,Jamestown,US,42.097,-79.2353,78.03,53,40,5.75,scattered clouds
85,Mahebourg,MU,-20.4081,57.7,71.26,73,40,11.5,scattered clouds
86,Thinadhoo,MV,0.5333,72.9333,82.09,74,9,11.65,clear sky
87,Dhidhdhoo,MV,6.8833,73.1,80.44,85,37,15.23,scattered clouds
88,Port Blair,IN,11.6667,92.75,81.63,80,100,13.82,overcast clouds
89,Boende,CD,-0.2167,20.8667,72.46,95,86,3.24,moderate rain
90,Georgetown,MY,5.4112,100.3354,81.9,81,20,0.0,few clouds
91,Khatanga,RU,71.9667,102.5,34.2,97,100,7.83,overcast clouds
92,San Cristobal,VE,7.7669,-72.225,86.18,45,76,8.01,broken clouds
93,Laukaa,RU,58.7372,29.8453,46.96,69,7,4.0,clear sky
94,Saint Anthony,US,45.0205,-93.218,64.45,85,100,11.5,overcast clouds
95,Albany,US,42.6001,-73.9662,78.67,66,0,1.01,clear sky
96,Nacala,MZ,-14.5428,40.6728,72.18,82,1,6.13,clear sky
97,Camana,PE,-16.6228,-72.7111,64.54,69,46,11.56,scattered clouds
98,Coihaique,CL,-45.5752,-72.0662,51.75,54,40,8.05,scattered clouds
99,Thompson,CA,55.7435,-97.8558,50.16,66,100,12.66,overcast clouds
100,Pangody,RU,65.85,74.4859,36.55,74,92,9.62,overcast clouds
101,Te Anau,NZ,-45.4167,167.7167,36.3,92,75,1.34,broken clouds
102,Torbay,CA,47.6666,-52.7314,62.89,68,75,9.22,broken clouds
103,Lata,PT,40.1629,-8.3327,82.92,55,21,10.16,few clouds
104,Lebu,CL,-37.6167,-73.65,51.84,60,1,16.08,clear sky
105,Cap-Aux-Meules,CA,47.3821,-61.8597,68.05,68,40,9.22,scattered clouds
106,Grand Gaube,MU,-20.0064,57.6608,71.38,65,6,7.0,clear sky
107,Rostock,DE,54.0887,12.1405,68.02,83,94,4.76,overcast clouds
108,Atuona,PF,-9.8,-139.0333,75.22,83,49,22.97,light rain
109,Buraydah,SA,26.326,43.975,102.65,9,0,9.82,clear sky
